"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"ABHD5" 6748 2870 4385 5855 3382 2866 3458 4489 3261
"ANOS1" 22 29 97 25 15 69 24 12 24
"AKAP8L" 2827 2669 4306 3186 3463 3031 2954 2965 3044
"MBTD1" 2472 1731 2668 2472 2222 1320 2749 1518 3093
"UTP18" 5525 6743 6874 5332 5920 3388 5039 4873 6785
"RNF216" 1214 1487 1978 1361 1544 1225 1435 755 1649
"TTC19" 3858 3907 7463 3878 4392 4237 4420 5062 6526
"PTBP1" 11346 11635 17434 13499 12436 10372 12355 13271 12518
"DPF1" 21 12 35 19 15 20 29 4 17
"SYT7" 5740 3940 10338 6201 6294 2686 5530 2990 7830
"LARS2" 1092 1295 1743 1206 1558 1086 1466 560 1616
"PIK3C2A" 16200 8663 10622 12722 10911 7175 12726 15684 13728
"PLAUR" 3634 2579 2717 2718 2179 3678 1637 1663 1275
"ANLN" 2326 3435 3287 2670 3043 2009 3505 4556 3952
"WIZ" 1512 1486 2611 1788 1631 1733 1724 1917 1689
"GPR21" 4069 3341 4869 3733 3819 3192 3851 3458 4421
"DCN" 23671 44128 90077 21034 39826 45873 21511 47716 14758
"QPCTL" 698 800 796 675 759 334 652 678 737
"PPP5C" 1068 1308 1646 1153 1288 810 1413 1484 1530
"CEP68" 614 987 1145 601 1385 579 750 1230 1091
"MAP4K3" 3140 3001 4142 2780 3258 2949 2759 2316 4162
"ZBTB32" 8 2 2 1 3 3 2 3 1
"TYROBP" 1232 1260 1236 1709 1406 2505 883 1115 923
"TMEM159" 1112 808 1266 808 1029 435 610 351 370
"GABRA3" 409 390 536 726 414 175 714 255 645
"BRCA1" 1493 1030 1447 1680 1337 846 1695 981 1770
"ERCC1" 4400 5707 4027 3182 4648 3701 3396 10622 2892
"CD22" 37 12 73 87 37 236 22 47 18
"SEMA3B" 2690 2086 3116 2080 2171 2138 1594 3505 938
"MBTPS2" 1097 1884 2509 1231 1566 1333 1467 1673 1752
"PRICKLE3" 294 233 447 362 287 300 255 236 274
"LTF" 15 10 8 2 13 11 4 3 3
"EXTL3" 1084 1494 2587 1461 1297 3167 1404 921 1478
"NR1H4" 3 2 12 5 1 4 2 22 1
"ELOVL5" 3586 3614 3345 3142 3269 1537 3445 2768 2046
"ALOX5" 590 244 488 502 387 729 330 124 444
"KDM5D" 1179 3 0 1393 0 0 1533 0 6
"CALCOCO1" 3978 2319 4788 3971 3443 2862 4028 2558 3639
"UBR7" 722 874 1025 784 846 686 884 1182 925
"MAP4K5" 1738 1878 2926 1674 1886 1910 2068 2038 2397
"EHD3" 3784 989 2277 4020 1877 1060 2960 878 2209
"PSMC4" 3720 3810 4618 3409 3908 2704 3241 12839 3482
"MAN2B2" 4579 3473 3591 4915 4283 2923 4912 3830 2397
"SLC7A14" 10 13 28 13 23 22 31 18 14
"CLDN11" 74 221 145 87 199 46 131 180 98
"SLC25A39" 2498 3056 3189 2410 3098 1581 2687 3492 2620
"MVP" 11043 6724 12734 11343 10486 8795 9821 3764 8148
"NUB1" 4573 3760 4229 8161 8006 7084 3757 3873 3466
"PGM3" 7219 6357 7387 6429 5925 3502 5480 3318 6457
"RWDD2A" 924 918 987 818 859 303 855 467 853
"CLK1" 4775 5920 6016 5936 5293 4231 4987 8982 5315
"POLR3B" 1218 770 1887 1133 1039 861 1511 352 1679
"ANGEL1" 1771 1221 1720 1467 1493 1041 1306 1105 1567
"RNF14" 2927 2760 4265 3011 3467 2508 2630 3050 3250
"DNASE1L1" 909 712 1153 995 801 869 1014 723 821
"DDX11" 238 258 473 307 299 372 401 336 582
"HEBP1" 1571 1909 1749 1683 2036 1469 1711 1296 1344
"GPRC5A" 4335 2959 5909 3794 3079 6262 3000 6022 1323
"MAMLD1" 228 154 540 153 190 179 94 53 70
"CD6" 56 24 94 40 73 126 33 8 32
"TACC3" 783 1007 1199 807 923 668 1042 1639 1152
"UFL1" 2905 2746 3666 2667 2982 1788 3011 2009 3621
"POLA2" 659 845 1018 799 805 697 710 801 1105
"ZC3H3" 1011 686 1133 1061 825 909 814 610 824
"CAPN1" 14350 10141 18364 14401 11820 8256 14762 7021 12938
"ACPP" 1179 956 873 1407 1287 416 1406 1138 918
"MDH1" 4606 6553 5894 5539 6237 2531 6012 4540 5492
"SLC30A9" 4729 4122 6269 4537 4607 2799 5240 2876 6254
"MTMR11" 1040 504 993 1693 962 1596 1275 357 1065
"COX15" 2644 1953 2846 2789 2484 1369 3088 1945 2831
"CCDC88C" 375 324 639 579 387 443 852 143 563
"YAF2" 819 1029 864 871 1026 525 808 1052 1051
"ZMYND11" 2551 2274 3908 2302 2441 2143 3088 1831 2985
"WAS" 121 93 165 99 108 224 81 54 112
"DPEP1" 10 18 1 9 24 4 7 20 4
